Experiment,Reporting Label,Round,Training Loss,Test Loss,Test Accuracy (%),Cumulative Peak Accuracy (%),Source File
DP-1,DP noise 0.001,4,1.0501130396080016,0.990511164543735,64.4,64.4,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,5,0.9137239435577392,0.8528076452054795,69.68,69.68,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,6,0.8206228752326965,0.7010280013464059,74.95,74.95,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,7,0.74354569272995,0.6893918643331831,76.16,76.16,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,8,0.6790669321537017,0.6212107804930134,78.59,78.59,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,9,0.626977889251709,0.5989229993265905,79.29,79.29,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,10,0.5840799707603455,0.5358956776986457,82.09,82.09,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,11,0.5524656552028656,0.5107659832307487,82.88,82.88,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,12,0.5225134923744201,0.4880548841824197,83.83,83.83,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,13,0.4856045522212982,0.4613464299091108,84.68,84.68,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,14,0.4695801648044586,0.4604563729208746,84.99,84.99,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,15,0.4381846231555938,0.4484638633431902,85.25,85.25,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,16,0.421848437538147,0.4581815486026417,84.75,85.25,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,17,0.4040260417079925,0.4257285342474652,86.03,86.03,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,18,0.3891407550811768,0.4068986602649567,86.71,86.71,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,19,0.3705406952381134,0.4066148324377218,86.55,86.71,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,20,0.3619833677768707,0.4229483875879057,86.75,86.75,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,21,0.3438368955683708,0.3852799362058093,87.42,87.42,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,22,0.3361419667005539,0.3908007936492847,87.46,87.46,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,23,0.3277124875211715,0.3905955663152561,87.85,87.85,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,24,0.3156569942116737,0.3787260028017554,87.76,87.85,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,25,0.3071949589681625,0.3682476889555621,87.94,87.94,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,26,0.3004727659678459,0.3770402018811292,88.07,88.07,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,27,0.2898748109388351,0.3718361415111335,88.41,88.41,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,28,0.2845953533411026,0.3808440516708762,87.82,88.41,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,29,0.2742600762653351,0.3705363121761638,88.21,88.41,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-1,DP noise 0.001,30,0.2770120951128006,0.3578834666093443,88.8,88.8,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-1_history.csv
DP-3,DP noise 0.010,1,1.720685616569519,2.303113902450367,10.0,10.0,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,2,1.3452761930465698,2.1282737270282333,23.58,23.58,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,3,1.1826659449386596,1.856481886973047,28.0,28.0,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,4,1.0518883697891237,2.119458481005043,33.98,33.98,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,5,0.9541501038360596,1.837749917795704,40.67,40.67,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,6,0.8869920406341553,2.245629939304036,37.77,40.67,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,7,0.8299615282058715,1.7988008139239755,45.23,45.23,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,8,0.7829148841285706,1.5986599610869292,50.88,50.88,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,9,0.7401929946327209,1.176233528525966,59.57,59.57,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,10,0.7150604959201813,1.4095529310262886,54.58,59.57,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,11,0.6836282288742066,1.8649066284203983,47.0,59.57,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,12,0.6577494470405578,0.9155747241275326,68.09,68.09,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,13,0.6367079973220825,1.3812545348124898,58.41,68.09,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
