Experiment,Reporting Label,Condition,Noise Multiplier,Clip Norm,Peak Test Accuracy (%),Peak Round,Round-30 Accuracy (%),Peak minus Round-30 (pp),Minimum Test Loss,Minimum Test Loss Round,Training Time (min),Best-checkpoint Precision,Best-checkpoint Recall,Best-checkpoint F1,Evidence Status,Peak Accuracy Delta vs FedAvg (pp),Round-30 Delta vs FedAvg (pp),Time Overhead vs FedAvg (%)
FedAvg,FedAvg baseline,Baseline,0.0,1000.0,88.55,30,88.55,0.0,0.3584068567509864,28,4.54,0.8848823325964702,0.8855000000000001,0.884110946665863,Verified with limitations,0.0,0.0,0.0
DP-1,DP noise 0.001,Client-update noise,0.001,10.0,88.8,30,88.8,0.0,0.3578834666093443,30,4.61,0.8874800856059355,0.8879999999999999,0.8869218140649553,Verified with limitations,0.25,0.25,1.541850220264318
DP-2,DP noise 0.005 (summary-level),Client-update noise,0.005,10.0,85.08,,85.08,0.0,,,4.66,0.8508,0.8508,0.849,Retained with qualification - summary-level evidence,-3.47,-3.47,2.643171806167399
DP-3,DP noise 0.010,Client-update noise,0.01,10.0,74.18,27,63.57,10.610000000000007,0.7898572521984197,27,4.73,0.7813636613287817,0.7418,0.73967876977203,Verified with limitations,-14.36999999999999,-24.979999999999997,4.185022026431717
DP-4,DP noise 0.020,Client-update noise,0.02,10.0,30.16,21,20.92,9.239999999999998,2.211720059631737,21,4.83,0.4636688605483107,0.3016,0.25400280997596225,Verified with limitations,-58.39,-67.63,6.38766519823788
SA-1,DP 0.001 + mask recovery,Combined DP + simulation,0.001,10.0,86.42,28,79.36,7.060000000000002,0.4201493985523843,28,4.68,0.866063630559611,0.8642,0.8636181439480423,Verified with limitations,-2.1299999999999955,-9.189999999999998,3.083700440528636
